Path,Method,Schema,Model Name,Supported,Datasource,Resource
/core/about/activity,GET,,,false,false,false
/core/about/health,GET,Health,health,true,true,false
/core/about/version,GET,versionInfo,,false,false,false
/core/access/v1/checkAccess,POST,CheckAccessRequest,,false,false,false
/core/access/v1/namespaces,GET,NamespaceGetResponse,namespace_get_response,true,true,false
/core/admin/federationproviders,GET,AuthProviders,auth_providers,true,true,false
/core/admin/federationproviders,POST,AuthProvider,auth_provider,true,false,true
/core/admin/federationproviders/{uuid},DELETE,,auth_provider,true,false,true
/core/admin/federationproviders/{uuid},GET,AuthProvider,auth_provider,true,true,true
/core/admin/federationproviders/{uuid},PUT,AuthProvider,auth_provider,true,false,true
/core/admin/federationprovidertest,POST,AuthProviderTestParams,,false,false,false
/core/admin/groups,GET,AuthUserGroups,auth_user_groups,true,true,false
/core/admin/groups,POST,AuthUserGroup,auth_user_group,true,false,true
/core/admin/groups/{uuid},DELETE,,auth_user_group,true,false,true
/core/admin/groups/{uuid},GET,AuthUserGroup,auth_user_group,true,true,true
/core/admin/groups/{uuid},PUT,AuthUserGroup,auth_user_group,true,false,true
/core/admin/groups/{uuid}/roles,DELETE,,,false,false,false
/core/admin/groups/{uuid}/roles,GET,AuthRoles,group_roles,true,true,false
/core/admin/groups/{uuid}/roles,POST,,,false,false,false
/core/admin/groups/{uuid}/roles,PUT,,,false,false,false
/core/admin/namespaces/{namespace}/roles,GET,AuthRoles,auth_roles,true,true,false
/core/admin/namespaces/{namespace}/roles,POST,AuthRole,auth_role,true,false,true
/core/admin/namespaces/{namespace}/roles/{name},DELETE,,auth_role,true,false,true
/core/admin/namespaces/{namespace}/roles/{name},GET,AuthRole,auth_role,true,true,true
/core/admin/namespaces/{namespace}/roles/{name},PUT,AuthRole,auth_role,true,false,true
/core/admin/passwordpolicy,GET,AuthPasswordPolicy,auth_password_policy,true,true,false
/core/admin/passwordpolicy,PUT,AuthPasswordPolicy,,false,false,false
/core/admin/roles,GET,AuthRoles,cluster_auth_roles,true,true,false
/core/admin/roles,POST,AuthRole,cluster_auth_role,true,false,true
/core/admin/roles/{name},DELETE,,cluster_auth_role,true,false,true
/core/admin/roles/{name},GET,AuthRole,cluster_auth_role,true,true,true
/core/admin/roles/{name},PUT,AuthRole,cluster_auth_role,true,false,true
/core/admin/users,GET,AuthUsers,auth_users,true,true,false
/core/admin/users,POST,AuthUser,auth_user,true,false,true
/core/admin/users/{uuid},DELETE,,auth_user,true,false,true
/core/admin/users/{uuid},GET,AuthUser,auth_user,true,true,true
/core/admin/users/{uuid},PUT,AuthUser,auth_user,true,false,true
/core/admin/users/{uuid}/actionemails,PUT,,,false,false,false
/core/admin/users/{uuid}/groups,DELETE,GroupIDs,,false,false,false
/core/admin/users/{uuid}/groups,POST,GroupIDs,,false,false,false
/core/admin/users/{uuid}/groups,PUT,GroupIDs,,false,false,false
/core/admin/users/{uuid}/resetpassword,PUT,Credentials,,false,false,false
/core/alarm/v2/alarms,DELETE,AlarmNamespaceAndName,,false,false,false
/core/alarm/v2/alarms,GET,AlarmData,cluster_alarms,true,true,false
/core/alarm/v2/alarms,PUT,AlarmNamespaceAndName,,false,false,false
/core/alarm/v2/alarms/{alarm-name},DELETE,,,false,false,false
/core/alarm/v2/alarms/{alarm-name},GET,AlarmData,cluster_alarm,true,true,false
/core/alarm/v2/alarms/{alarm-name},PUT,,,false,false,false
/core/alarm/v2/alarms/{alarm-name}/history,GET,AlarmHistoryData,cluster_alarm_history,true,true,false
/core/alarm/v2/namespaces/{nsName}/alarms,DELETE,AlarmNamespaceAndName,,false,false,false
/core/alarm/v2/namespaces/{nsName}/alarms,GET,AlarmData,alarms,true,true,false
/core/alarm/v2/namespaces/{nsName}/alarms,PUT,AlarmNamespaceAndName,,false,false,false
/core/alarm/v2/namespaces/{nsName}/alarms/{alarm-name},DELETE,,,false,false,false
/core/alarm/v2/namespaces/{nsName}/alarms/{alarm-name},GET,AlarmData,alarm,true,true,false
/core/alarm/v2/namespaces/{nsName}/alarms/{alarm-name},PUT,,,false,false,false
/core/alarm/v2/namespaces/{nsName}/alarms/{alarm-name}/history,GET,AlarmHistoryData,alarm_history,true,true,false
/core/autocomplete/v1/labels,POST,GetLabelCompletionRequest,,false,false,false
/core/nodeconfig/v2/namespaces/{nsName}/nodes/{nodeName},GET,NodeConfigResponse,node_config_response,true,true,false
/core/query/v1,GET,QueryResponse,stream_result,true,true,false
/core/query/v1/eql,GET,QueryResponse,eql_stream_result,true,true,false
/core/query/v1/eql/autocomplete,GET,QueryCompletionResponse,query_completion_response,true,true,false
/core/query/v1/nql,GET,QueryResponse,nql_stream_result,true,true,false
/core/store/v1/appsummaries,GET,StoreAppSummaryList,store_app_summary_list,true,true,false
/core/store/v1/categories,GET,StoreCategoryList,store_category_list,true,true,false
/core/store/v1/file/catalog/{catalog}/app/{appId}/{path},GET,,,false,false,false
/core/store/v1/installedsettings/app/{appId},GET,StoreAppInstalledSettings,store_app_installed_settings,true,true,false
/core/store/v1/manifest/catalog/{catalog}/app/{appId},GET,StoreAppManifest,store_app_manifest,true,true,false
/core/store/v1/requirementsgraph/catalog/{catalog}/app/{appId},GET,StoreAppRequirementsGraph,store_app_requirements_graph,true,true,false
/core/store/v1/versions/app/{appId},GET,StoreAppVersionList,store_app_version_list,true,true,false
/core/topology/v1,GET,Topologies,topologies,true,true,false
/core/topology/v1/{topologyName},GET,Topology,topology,true,true,false
/core/topology/v1/{topologyName}/overlay,GET,Overlays,overlays,true,true,false
/core/topology/v1/{topologyName}/overlay/{overlayName},GET,Overlay,overlay,true,true,false
/core/topology/v1/{topologyName}/state,POST,TopoStateRequest,,false,false,false
/core/transaction/v2,POST,Transaction,,false,false,false
/core/transaction/v2/restore/{transactionId},POST,TransactionId,,false,false,false
/core/transaction/v2/result/diffs/nodecfg/{transactionId},GET,TransactionResultObject,transaction_node_config_diff,true,true,false
/core/transaction/v2/result/diffs/resource/{transactionId},GET,TransactionResultObject,transaction_resource_diff,true,true,false
/core/transaction/v2/result/execution/{transactionId},GET,TransactionExecutionResult,transaction_execution_result,true,true,false
/core/transaction/v2/result/inputresources/{transactionId},GET,TransactionResultInputResources,transaction_input_resource,true,true,false
/core/transaction/v2/result/summary,GET,TransactionSummaryResults,transaction_result_summaries,true,true,false
/core/transaction/v2/result/summary/{transactionId},GET,TransactionSummaryResult,transaction_result_summary,true,true,false
/core/transaction/v2/result/topology/{transactionId},GET,TransactionTopologyResult,,false,false,false
/core/transaction/v2/revert/{transactionId},POST,TransactionId,,false,false,false
/core/transaction/v2/state/{transactionId},GET,TransactionState,transaction_state,true,true,false
/core/transaction/v2/validate,POST,TransactionCr,,false,false,false
/core/user-storage/v2/directory,DELETE,,,false,false,false
/core/user-storage/v2/directory,GET,UserStorageOutDirContent,user_storage_dir,true,true,false
/core/user-storage/v2/file,DELETE,,,false,false,false
/core/user-storage/v2/file,GET,UserStorageOutFileContent,user_storage_file,true,true,false
/core/user-storage/v2/file,POST,UserStorageInFileContent,,false,false,false
/core/user-storage/v2/file,PUT,UserStorageInFileContent,,false,false,false
/core/user-storage/v2/files,DELETE,,,false,false,false
/core/user-storage/v2/shared/directory,DELETE,,,false,false,false
/core/user-storage/v2/shared/directory,GET,UserStorageOutDirContent,user_storage_shared_dir,true,true,false
/core/user-storage/v2/shared/file,DELETE,,,false,false,false
/core/user-storage/v2/shared/file,GET,UserStorageOutFileContent,user_storage_shared_file,true,true,false
/core/user-storage/v2/shared/file,POST,UserStorageInFileContent,,false,false,false
/core/user-storage/v2/shared/file,PUT,UserStorageInFileContent,,false,false,false
/core/user-storage/v2/shared/files,DELETE,,,false,false,false
/core/workflow/v1,POST,Workflow,workflow,true,false,true
/core/workflow/v1/details/{workflowId},GET,WorkflowResult,workflow_detail,true,true,false
/core/workflow/v1/list,GET,FlowListResult,cluster_workflow_list,true,true,false
/core/workflow/v1/state/{workflowId},GET,WorkflowState,workflow_state,true,true,false
/core/workflow/v1/workflow/{workflowId},GET,FlowGetResponse,workflow,true,true,true
/core/workflow/v1/{nsName}/list,GET,FlowListResult,workflow_list,true,true,false
/core/workflows/v1,GET,WorkflowStatusSummary,,false,false,false
